  name            status  full name                                                                     parent          year    company         hardware        remarks
+---------------+-------+-----------------------------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 1941          |       | 1941 - Counter Attack (World)                                               |               | 1990  | Capcom        | CPS1          |                                       |
| cworld2j      |       | Capcom World 2 (920611 Japan)                                               |               | 1992  | Capcom        | CPS1          |                                       |
| cyberlip      |       | Cyber-Lip                                                                   |               | 1990  | SNK           | Neo Geo       |                                       |
| cybots        |       | Cyberbots - fullmetal madness (950424 Euro)                                 |               | 1995  | Capcom        | CPS2          |                                       |
| cybotsj       |       | Cyberbots - fullmetal madness (950420 Japan)                                | cybots        | 1995  | Capcom        | CPS2          |                                       |
| cybotsu       |       | Cyberbots - fullmetal madness (950424 USA)                                  | cybots        | 1995  | Capcom        | CPS2          |                                       |
| daimakai      |       | Dai Makai-Mura (Japan)                                                      | ghouls        | 1988  | Capcom        | CPS1          |                                       |
| daisenpu      |       | Daisenpu (Japan)                                                            | twinhawk      | 1989  | Taito         | Taito X Syste |                                       |
| ddonpach      |       | DoDonPachi (1997 2/5 master ver, international)                             |               | 1997  | Atlus / Cave  | Cave          |                                       |
| ddonpchj      |       | DoDonPachi (1997 2/5 master ver, Japan)                                     | ddonpach      | 1997  | Atlus / Cave  | Cave          |                                       |
| ddsoma        |       | Dungeons & Dragons - shadow over mystara (960619 Asia)                      | ddsom         | 1996  | Capcom        | CPS2          |                                       |
| ddsomb        |       | Dungeons & Dragons - shadow over mystara (960223 Brazil)                    | ddsom         | 1996  | Capcom        | CPS2          |                                       |
| ddsom         |       | Dungeons & Dragons - shadow over mystara (960619 Euro)                      |               | 1996  | Capcom        | CPS2          |                                       |
| ddsomj        |       | Dungeons & Dragons - shadow over mystara (960619 Japan)                     | ddsom         | 1996  | Capcom        | CPS2          |                                       |
| ddsomjr1      |       | Dungeons & Dragons - shadow over mystara (960206 Japan)                     | ddsom         | 1996  | Capcom        | CPS2          |                                       |
| ddsomr1       |       | Dungeons & Dragons - shadow over mystara (960223 Euro)                      | ddsom         | 1996  | Capcom        | CPS2          |                                       |
| ddsomr2       |       | Dungeons & Dragons - shadow over mystara (960209 Euro)                      | ddsom         | 1996  | Capcom        | CPS2          |                                       |
| ddsomr3       |       | Dungeons & Dragons - shadow over mystara (960208 Euro)                      | ddsom         | 1996  | Capcom        | CPS2          |                                       |
| ddsomu        |       | Dungeons & Dragons - shadow over mystara (960619 USA)                       | ddsom         | 1996  | Capcom        | CPS2          |                                       |
| ddsomur1      |       | Dungeons & Dragons - shadow over mystara (960209 USA)                       | ddsom         | 1996  | Capcom        | CPS2          |                                       |
| ddtoda        |       | Dungeons & Dragons - tower of doom (940113 Asia)                            | ddtod         | 1994  | Capcom        | CPS2          |                                       |
| ddtod         |       | Dungeons & Dragons - tower of doom (940412 Euro)                            |               | 1994  | Capcom        | CPS2          |                                       |
| ddtodh        |       | Dungeons & Dragons - tower of doom (940125 Hispanic)                        | ddtod         | 1994  | Capcom        | CPS2          |                                       |
| ddtodj        |       | Dungeons & Dragons - tower of doom (940125 Japan)                           | ddtod         | 1994  | Capcom        | CPS2          |                                       |
| ddtodjr1      |       | Dungeons & Dragons - tower of doom (940113 Japan)                           | ddtod         | 1994  | Capcom        | CPS2          |                                       |
| ddtodr1       |       | Dungeons & Dragons - tower of doom (940113 Euro)                            | ddtod         | 1994  | Capcom        | CPS2          |                                       |
| ddtodu        |       | Dungeons & Dragons - tower of doom (940125 USA)                             | ddtod         | 1994  | Capcom        | CPS2          |                                       |
| ddtodur1      |       | Dungeons & Dragons - tower of doom (940113 USA)                             | ddtod         | 1994  | Capcom        | CPS2          |                                       |
| dfeveron      |       | Dangun Feveron (Japan ver. Thu Sep 17 1998)                                 | feversos      | 1998  | Cave / Nihon  | Cave          |                                       |
| diggerma      |       | Digger Man                                                                  |               | 1994  | Face          | Neo Geo       |                                       |
| dimahoo       |       | Dimahoo (000121 USA)                                                        |               | 2000  | 8ing / Raizin | CPS2          |                                       |
| dino          |       | Cadillacs & Dinosaurs (930201 etc)                                          |               | 1993  | Capcom        | CPS1 / QSound |                                       |
| dinoj         |       | Cadillacs Kyouryuu-Shinseiki (Cadillacs 930201 Japan)                       | dino          | 1993  | Capcom        | CPS1, QSound  |                                       |
| dinou         |       | Cadillacs & Dinosaurs (930201 USA)                                          | dino          | 1993  | Capcom        | CPS1 / QSound |                                       |
| dogyuun       |       | Dogyuun                                                                     |               | 1992  | Toaplan       | Dual Toaplan  | No sound (sound MCU not dumped)       |
| donpachi      |       | DonPachi (ver. 1.01 1995/05/11, U.S.A)                                      |               | 1995  | Atlus / Cave  | Cave          |                                       |
| donpachk      |       | DonPachi (ver. 1.12 1995/05/2x, Hong Kong)                                  | donpachi      | 1995  | Atlus / Cave  | Cave          |                                       |
| donpacjp      |       | DonPachi (ver. 1.01 1995/05/11, Japan)                                      | donpachi      | 1995  | Atlus / Cave  | Cave          |                                       |
| donpackr      |       | DonPachi (ver. 1.12 1995/05/2x, Korea)                                      | donpachi      | 1995  | Atlus / Cave  | Cave          |                                       |
| doubledr      |       | Double Dragon                                                               |               | 1995  | Technos       | Neo Geo       |                                       |
| dquizgo       |       | Date Quiz Go Go (Korea)                                                     |               | 1998  | SemiCom       | Miscellaneous |                                       |
| drgnbowl      |       | Dragon Bowl                                                                 |               | 1992  | Nics          | Miscellaneous |                                       |
| drgw2c        |       | Zhong Guo Long II (ver. 100C, China)                                        | drgw2         | 1997  | IGS           | PGM           |                                       |
| drgw2         |       | Dragon World II (ver. 110X, Export)                                         |               | 1997  | IGS           | PGM           |                                       |
| dstlka        |       | Darkstalkers - the night warriors (940705 Asia)                             | dstlk         | 1994  | Capcom        | CPS2          |                                       |
| dstlk         |       | Darkstalkers - the night warriors (940705 Euro)                             |               | 1994  | Capcom        | CPS2          |                                       |
| dstlku        |       | Darkstalkers - the night warriors (940818 USA)                              | dstlk         | 1994  | Capcom        | CPS2          |                                       |
| dstlkur1      |       | Darkstalkers - the night warriors (940705 USA)                              | dstlk         | 1994  | Capcom        | CPS2          |                                       |
| dynwar        |       | Dynasty Wars (World)                                                        |               | 1989  | Capcom        | CPS1          |                                       |
| dynwarj       |       | Tenchi wo Kurau (Japan)                                                     | dynwar        | 1989  | Capcom        | CPS1          |                                       |
| ecofghta      |       | Eco Fighters (931203 Asia)                                                  | ecofghtr      | 1993  | Capcom        | CPS2          |                                       |
| ecofghtr      |       | Eco Fighters (931203 etc)                                                   |               | 1993  | Capcom        | CPS2          |                                       |
| ecofghtu      |       | Eco Fighters (931203 USA)                                                   | ecofghtr      | 1993  | Capcom        | CPS2          |                                       |
| eightman      |       | Eight Man                                                                   |               | 1991  | SNK / Pallas  | Neo Geo       |                                       |
| esprade       |       | ESP Ra.De. (1998 4/22 international ver.)                                   |               | 1998  | Atlus / Cave  | Cave          |                                       |
| espradej      |       | ESP Ra.De. (Japan, 1998 4/21 master ver.)                                   | esprade       | 1998  | Atlus / Cave  | Cave          |                                       |
| espradeo      |       | ESP Ra.De. (Japan, 1998 4/14 master ver.)                                   | esprade       | 1998  | Atlus / Cave  | Cave          |                                       |
| explbrkr      |       | Explosive Breaker                                                           |               | 1992  | Kaneko        | Kaneko 16-bit |                                       |
| fantasia      |       | Fantasia                                                                    |               | 1994  | Comad / New J | Miscellaneous |                                       |
| fantsia2      |       | Fantasia II (Explicit)                                                      |               | 1997  | Comad         | Miscellaneous |                                       |
| fantsy95      |       | Fantasy '95                                                                 |               | 1995  | Hi-max Techno | Miscellaneous |                                       |
| fatfursa      |       | Fatal Fury Special (set 2)                                                  | fatfursp      | 1993  | SNK           | Neo Geo       |                                       |
| fatfursp      |       | Fatal Fury Special (set 1)                                                  |               | 1993  | SNK           | Neo Geo       |                                       |
| fatfury1      |       | Fatal Fury - king of fighters                                               |               | 1992  | SNK           | Neo Geo       |                                       |
| fatfury2      |       | Fatal Fury 2                                                                |               | 1992  | SNK           | Neo Geo       |                                       |
| fatfury3      |       | Fatal Fury 3 - road to the final victory                                    |               | 1995  | SNK           | Neo Geo       |                                       |
| fbfrenzy      |       | Football Frenzy                                                             |               | 1992  | SNK           | Neo Geo       |                                       |
| feversos      |       | Fever SOS (International ver. Fri Sep 25 1998)                              |               | 1998  | Cave / Nihon  | Cave          |                                       |
| ffight        |       | Final Fight (World)                                                         |               | 1989  | Capcom        | CPS1          |                                       |
| ffightj1      |       | Final Fight (900305 Japan)                                                  | ffight        | 1989  | Capcom        | CPS1          |                                       |
| ffightj       |       | Final Fight (Japan)                                                         | ffight        | 1989  | Capcom        | CPS1          |                                       |
| ffightua      |       | Final Fight (900613 USA)                                                    | ffight        | 1989  | Capcom        | CPS1          |                                       |
| ffightu       |       | Final Fight (900112 USA)                                                    | ffight        | 1989  | Capcom        | CPS1          |                                       |
| fightfev      |       | Fight Fever (set 1)                                                         |               | 1994  | Viccom        | Neo Geo       |                                       |
| fightfva      |       | Fight Fever (set 2)                                                         | fightfev      | 1994  | Viccom        | Neo Geo       |                                       |
| finalttr      |       | Final Tetris                                                                |               | 1993  | Jeil Computer | Kaneko Pandor |                                       |
| flipshot      |       | Battle Flip Shot                                                            |               | 1998  | Visco         | Neo Geo       |                                       |
| fncywld       |       | Fancy World - Earth of Crisis                                               |               | 1996  | Unico         | Miscellaneous |                                       |
| fntsia2a      |       | Fantasia II (Less Explicit)                                                 | fantsia2      | 1997  | Comad         | Miscellaneous |                                       |
| forgottn      |       | Forgotten Worlds (US)                                                       |               | 1988  | Capcom        | CPS1          |                                       |
| fstarfrc      |       | Final Star Force (US)                                                       |               | 1992  | Tecmo         | Miscellaneous |                                       |
| fswords       |       | Fighters Swords (bootleg)                                                   | samsho3       | 1995  | SNK           | Neo Geo       | Korean version of "Samurai Shodown II |
| gaia          |       | Gaia Crusaders                                                              |               | 1999  | Noise Factory | Cave          |                                       |
| gaiden        |       | Ninja Gaiden (US)                                                           | shadoww       | 1988  | Tecmo         | Miscellaneous |                                       |
| galaxyfg      |       | Galaxy Fight - universal warriors                                           |               | 1995  | Sunsoft       | Neo Geo       |                                       |
| galhustl      |       | Gals Hustler                                                                |               | 1997  | ACE Internati | Miscellaneous |                                       |
| galpanic      |       | Gals Panic (Unprotected)                                                    |               | 1990  | Kaneko        | Miscellaneous |                                       |
| ganryu        |       | Ganryu                                                                      |               | 1999  | Visco         | Neo Geo       |                                       |
| garoubl       |       | Garou - mark of the wolves (bootleg)                                        | garou         | 1999  | bootleg       | Neo Geo       |                                       |
| garou         |       | Garou - mark of the wolves (set 1)                                          |               | 1999  | SNK           | Neo Geo       |                                       |
| garouo        |       | Garou - mark of the wolves (set 2)                                          | garou         | 1999  | SNK           | Neo Geo       |                                       |
| garoup        |       | Garou - mark of the wolves (prototype)                                      | garou         | 1999  | SNK           | Neo Geo       |                                       |
| ghostlop      |       | Ghostlop                                                                    |               | 1994  | Data East Cor | Neo Geo       |                                       |
| ghouls        |       | Ghouls'n Ghosts (World)                                                     |               | 1988  | Capcom        | CPS1          |                                       |
| ghoulsu       |       | Ghouls'n Ghosts (US)                                                        | ghouls        | 1988  | Capcom        | CPS1          |                                       |
| gigawing      |       | Giga Wing (990222 USA)                                                      |               | 1999  | Capcom        | CPS2          |                                       |
| ginkun        |       | Ganbare Ginkun                                                              |               | 1995  | Tecmo         | Miscellaneous | Imperfect GFX                         |
| gmahou        |       | Great Mahou Daisakusen (000121 Japan)                                       | dimahoo       | 2000  | 8ing / Raizin | CPS2          |                                       |
| goalx3        |       | Goal! Goal! Goal!                                                           |               | 1995  | Visco         | Neo Geo       |                                       |
| gowcaizr      |       | Voltage Fighter - Gowcaizer                                                 |               | 1996  | Technos       | Neo Geo       |                                       |
| gpilots       |       | Ghost Pilots                                                                |               | 1991  | SNK           | Neo Geo       |                                       |
| grindsta      |       | Grind Stormer (older set)                                                   | vfive         | 1992  | Toaplan GP900 | Toaplan       | No sound (sound MCU not dumped)       |
| grindstm      |       | Grind Stormer                                                               | vfive         | 1992  | Toaplan       | Toaplan GP900 | No sound (sound MCU not dumped)       |
| gtmr          |       | 1000 Miglia: Great 1000 Miles Rally (94/07/18)                              |               | 1994  | Kaneko        | Kaneko 16-bit |                                       |
| gtmr2a        |       | Mille Miglia 2: Great 1000 Miles Rally (95/04/04)                           | gtmr2         | 1995  | Kaneko        | Kaneko 16-bit |                                       |
| gtmr2         |       | Mille Miglia 2: Great 1000 Miles Rally (95/05/24)                           |               | 1995  | Kaneko        | Kaneko 16-bit |                                       |
| gtmr2u        |       | Great 1000 Miles Rally 2 USA (95/05/18)                                     | gtmr2         | 1995  | Kaneko        | Kaneko 16-bit |                                       |
| gtmra         |       | 1000 Miglia: Great 1000 Miles Rally (94/06/13)                              | gtmr          | 1994  | Kaneko        | Kaneko 16-bit |                                       |
| gtmre         |       | Great 1000 Miles Rally: Evolution Model!!! (94/09/06)                       | gtmr          | 1994  | Kaneko        | Kaneko 16-bit |                                       |
| gtmrusa       |       | Great 1000 Miles Rally: U.S.A Version! (94/09/06)                           | gtmr          | 1994  | Kaneko        | Kaneko 16-bit |                                       |
| gururin       |       | Gururin                                                                     |               | 1994  | Face          | Neo Geo       |                                       |
| guwange       |       | Guwange (Japan, 1999 6/24 master ver.)                                      |               | 1999  | Atlus / Cave  | Cave          |                                       |
| gwinga        |       | Giga Wing (990222 Asia)                                                     | gigawing      | 1999  | Capcom        | CPS2          |                                       |
| gwingj        |       | Giga Wing (990223 Japan)                                                    | gigawing      | 1999  | Capcom        | CPS2          |                                       |
| hedpanic      |       | Head Panic (ver. 0117, 17/01/2000)                                          |               | 2000  | ESD           | Miscellaneous | Story line & game instructions in Eng |
| hedpanif      |       | Head Panic (ver. 0315, 15/03/2000)                                          | hedpanic      | 2000  | ESD / Fuuki   | Miscellaneous | Story line in Japanese, game instruct |
| hellfir1      |       | Hellfire (1P Ver.)                                                          | hellfire      | 1989  | Toaplan (Tait | Toaplan BCU-2 |                                       |
| hellfir2      |       | Hellfire (2P Ver., first edition)                                           | hellfire      | 1989  | Toaplan (Tait | Toaplan BCU-2 |                                       |
| hellfire      |       | Hellfire (2P Ver.)                                                          |               | 1989  | Toaplan (Tait | Toaplan BCU-2 |                                       |
| honeydol      |       | Honey Dolls                                                                 |               | 1995  | Barko Corp    | Kaneko Pandor |                                       |
| hook          |       | Hook (World)                                                                |               | 1992  | Irem          | misc          |                                       |
| hotdogst      |       | Hotdog Storm (International)                                                |               | 1996  | Marble        | Cave          |                                       |
| hsf2          |       | Hyper Street Fighter 2: The Anniversary Edition (040202 Asia)               |               | 2004  | Capcom        | CPS2          |                                       |
| hsf2j         |       | Hyper Street Fighter 2: The Anniversary Edition (031222 Japan)              | hsf2          | 2004  | Capcom        | CPS2          |                                       |
| htchctch      |       | Hatch Catch                                                                 |               | 1995  | SemiCom       | Miscellaneous |                                       |
| hyperpac      |       | Hyper Pacman                                                                |               | 1995  | SemiCom       | Kaneko Pandor |                                       |
| hyperpcb      |       | Hyper Pacman (bootleg)                                                      | hyperpac      | 1995  | SemiCom       | Kaneko Pandor |                                       |
| irrmaze       |       | The Irritating Maze                                                         |               | 1997  | SNK / Saurus  | Neo Geo       |                                       |
| janshin       |       | Jyanshin Densetsu - quest of jongmaster                                     |               | 1994  | Aicom         | Neo Geo       |                                       |
| jockeygp      |       | Jockey Grand Prix                                                           |               | 2001  | Sun Amazement | Neo Geo       |                                       |
| joyjoy        |       | Puzzled                                                                     |               | 1990  | SNK           | Neo Geo       |                                       |
| jumpkids      |       | Jump Kids                                                                   |               | 1993  | Comad         | Miscellaneous |                                       |
| jumppop       |       | Jumping Pop                                                                 |               | 2001  | ESD           | Miscellaneous | Missing Sounds                        |
| jyangoku      |       | Jyangokushi  -Haoh no Saihai- (990527 Japan)                                |               | 1999  | Mitchell      | CPS2          |                                       |
| kabukikl      |       | Kabuki Klash - far east of eden                                             |               | 1995  | Hudson Soft   | Neo Geo       |                                       |
| karatblz      |       | Karate Blazers (World?)                                                     |               | 1991  | Video System  | Video System  |                                       |
| karnovr       |       | Karnov's Revenge                                                            |               | 1994  | Data East Cor | Neo Geo       |                                       |
| kbash         |       | Knuckle Bash                                                                |               | 1993  | Toaplan       | Toaplan GP900 | No sound (sound MCU not emulated)     |
